Timestamp,Latitude,Longitude,Event,Note
,40.7127,-74.0059,New York City,"""Put it down here and never sleep!"""
,34.05,-118.25,Los Angeles,"""Wild. My fantasy."""
,25.7877,-80.2241,Miami,"""Hot! I feel the heat."""
,64.1333,-21.9333,Can't pronounce,"""Been here."""
,44.4167,26.1,Romania,"""This is where I had a girl and her sister!"""
,33,35.5,Lebanon,"""Women are the bomb!"""
,39,22,Greece,"""The women are sweet!"""
,19,-70.66667,Dominican Republic,"""Looking for visas."""
,22,-79.5,Cuba,"""La cosa esta dura!"""
,4.5833,-74.0667,Colombia,"""Some of the most beautiful woman I've ever seen."""
,-15.7833,-47.8667,Brazil,"""The girls are freaky with big ol' boobs and their thongs, blue, yellow, and green!"""
,10.5,-66.9667,Venezuela,"""Besito para todas las mujeres en Venezuela, muah!"""
