Latitude,Longitude,Event,Note
34.0385,-84.3431,"Cumming, GA",
39.86,-88.94,"Decatur, GA",
40.82,-73.92,"Bronx, NY",
38.9,-77.0333,"Manhattan, NY",
35.332,-89.905,"Memphis, TN",
25.702,-80.296,"Miami, FL",
41.885,-87.626,"Chicago, IL",
42.346,-83.061,"Detroit, MI",
39.99,-75.154,"Doylestown, PA",
36.899,-76.206,"Norfolk, VA",
39.202,-76.753,"Baltimore, MD",
29.956,-90.079,"New Orleans, LA",
32.925,-96.923,"Garland, TX",
29.72,-95.222,"Houston, TX",
38.749,-90.304,"St. Louis, MS",
40.8678,-74.4379,"Jersey City, NJ",
34.027,-118.282,"Los Angeles, CA",
38.6,-121.5,"Sacramento, CA",
38,-122.6,"San Francisco, CA",
35.193,-80.886,"Charlotte, NC",
47.6193,-122.3412,"Seattle, WA",
21.326,-157.831,"Honolulu, HI",
41.494,-81.669,"Cleveland, OH",
36.222,-115.147,"Las Vegas, NV",
43.069,-87.979,"Wauwatosa, WI",
39.7683,-86.1581,"Indianapolis, IN",
32.787,-96.799,"Dallas, TX",
29.836,-95.736,"Katy, TX",
32.399,-86.326,"Montgomery, AL",
33.5667,-87.3,"Alabastar, AL",
